Request: insert
Request per second: 954191
Avg (μs): 1.048
Med (μs): 1.059
Min (μs): 0.913
Max (μs): 1.092
90% (μs): 1.076
99% (μs): 1.085
99.9% (μs): 1.092
Request: select
Batch size: 1000
Request per second: 803819
Avg (μs): 1.244
Med (μs): 1.260
Min (μs): 0.960
Max (μs): 1.428
90% (μs): 1.278
99% (μs): 1.298
99.9% (μs): 1.310
Request: replace
Batch size: 1000
Request per second: 954441
Avg (μs): 1.048
Med (μs): 1.057
Min (μs): 0.918
Max (μs): 1.102
90% (μs): 1.075
99% (μs): 1.086
99.9% (μs): 1.101
Request: delete
Batch size: 1000
Request per second: 833451
Avg (μs): 1.200
Med (μs): 1.216
Min (μs): 0.932
Max (μs): 1.449
90% (μs): 1.234
99% (μs): 1.252
99.9% (μs): 1.312
Request: insert
Batch size: 1000
Request per second: 952446
Avg (μs): 1.050
Med (μs): 1.062
Min (μs): 0.908
Max (μs): 1.189
90% (μs): 1.079
99% (μs): 1.089
99.9% (μs): 1.100
Request: select
Batch size: 1000
Request per second: 804223
Avg (μs): 1.243
Med (μs): 1.259
Min (μs): 0.971
Max (μs): 1.388
90% (μs): 1.279
99% (μs): 1.295
99.9% (μs): 1.310
Request: replace
Batch size: 1000
Request per second: 953926
Avg (μs): 1.048
Med (μs): 1.059
Min (μs): 0.913
Max (μs): 1.093
90% (μs): 1.076
99% (μs): 1.086
99.9% (μs): 1.091
Request: delete
Batch size: 1000
Request per second: 832930
Avg (μs): 1.201
Med (μs): 1.217
Min (μs): 0.935
Max (μs): 1.452
90% (μs): 1.235
99% (μs): 1.251
99.9% (μs): 1.310
Request: insert
Batch size: 1000
Request per second: 855105
Avg (μs): 1.169
Med (μs): 1.037
Min (μs): 0.899
Max (μs): 139.869
90% (μs): 1.062
99% (μs): 1.107
99.9% (μs): 1.934
Request: select
Batch size: 1000
Request per second: 811612
Avg (μs): 1.232
Med (μs): 1.248
Min (μs): 0.971
Max (μs): 1.399
90% (μs): 1.268
99% (μs): 1.283
99.9% (μs): 1.295
Request: replace
Batch size: 1000
Request per second: 962245
Avg (μs): 1.039
Med (μs): 1.050
Min (μs): 0.902
Max (μs): 1.088
90% (μs): 1.065
99% (μs): 1.073
99.9% (μs): 1.080
Request: delete
Batch size: 1000
Request per second: 841073
Avg (μs): 1.189
Med (μs): 1.205
Min (μs): 0.925
Max (μs): 1.424
90% (μs): 1.224
99% (μs): 1.243
99.9% (μs): 1.296
Request: insert
Batch size: 1000
Request per second: 960922
Avg (μs): 1.041
Med (μs): 1.050
Min (μs): 0.909
Max (μs): 1.088
90% (μs): 1.069
99% (μs): 1.081
99.9% (μs): 1.087
Request: select
Batch size: 1000
Request per second: 812281
Avg (μs): 1.231
Med (μs): 1.247
Min (μs): 0.963
Max (μs): 1.432
90% (μs): 1.266
99% (μs): 1.288
99.9% (μs): 1.319
Request: replace
Batch size: 1000
Request per second: 962060
Avg (μs): 1.039
Med (μs): 1.050
Min (μs): 0.913
Max (μs): 1.089
90% (μs): 1.067
99% (μs): 1.078
99.9% (μs): 1.088
Request: delete
Batch size: 1000
Request per second: 840416
Avg (μs): 1.190
Med (μs): 1.205
Min (μs): 0.933
Max (μs): 1.441
90% (μs): 1.226
99% (μs): 1.244
99.9% (μs): 1.307
Request: insert
Batch size: 1000
Request per second: 962251
Avg (μs): 1.039
Med (μs): 1.051
Min (μs): 0.911
Max (μs): 1.083
90% (μs): 1.066
99% (μs): 1.075
99.9% (μs): 1.081
Request: select
Batch size: 1000
Request per second: 811358
Avg (μs): 1.233
Med (μs): 1.249
Min (μs): 0.966
Max (μs): 1.394
90% (μs): 1.268
99% (μs): 1.285
99.9% (μs): 1.304
Request: replace
Batch size: 1000
Request per second: 963457
Avg (μs): 1.038
Med (μs): 1.048
Min (μs): 0.911
Max (μs): 1.185
90% (μs): 1.063
99% (μs): 1.072
99.9% (μs): 1.083
Request: delete
Batch size: 1000
Request per second: 839693
Avg (μs): 1.191
Med (μs): 1.206
Min (μs): 0.932
Max (μs): 1.458
90% (μs): 1.227
99% (μs): 1.244
99.9% (μs): 1.314
Request: insert
Batch size: 1000
Request per second: 962143
Avg (μs): 1.039
Med (μs): 1.049
Min (μs): 0.905
Max (μs): 1.088
90% (μs): 1.067
99% (μs): 1.077
99.9% (μs): 1.084
Request: select
Batch size: 1000
Request per second: 810564
Avg (μs): 1.234
Med (μs): 1.250
Min (μs): 0.961
Max (μs): 1.342
90% (μs): 1.269
99% (μs): 1.284
99.9% (μs): 1.300
Request: replace
Batch size: 1000
Request per second: 962507
Avg (μs): 1.039
Med (μs): 1.048
Min (μs): 0.919
Max (μs): 1.082
90% (μs): 1.066
99% (μs): 1.077
99.9% (μs): 1.081
Request: delete
Batch size: 1000
Request per second: 839984
Avg (μs): 1.190
Med (μs): 1.205
Min (μs): 0.931
Max (μs): 1.435
90% (μs): 1.226
99% (μs): 1.247
99.9% (μs): 1.304
Request: insert
Batch size: 1000
Request per second: 960389
Avg (μs): 1.041
Med (μs): 1.052
Min (μs): 0.906
Max (μs): 1.093
90% (μs): 1.069
99% (μs): 1.079
99.9% (μs): 1.084
Request: select
Batch size: 1000
Request per second: 811226
Avg (μs): 1.233
Med (μs): 1.247
Min (μs): 0.964
Max (μs): 1.431
90% (μs): 1.267
99% (μs): 1.283
99.9% (μs): 1.296
Request: replace
Batch size: 1000
Request per second: 960847
Avg (μs): 1.041
Med (μs): 1.050
Min (μs): 0.917
Max (μs): 1.096
90% (μs): 1.067
99% (μs): 1.078
99.9% (μs): 1.086
Request: delete
Batch size: 1000
Request per second: 838671
Avg (μs): 1.192
Med (μs): 1.207
Min (μs): 0.918
Max (μs): 1.415
90% (μs): 1.228
99% (μs): 1.245
99.9% (μs): 1.352
Request: insert
Batch size: 1000
Request per second: 963801
Avg (μs): 1.038
Med (μs): 1.048
Min (μs): 0.913
Max (μs): 1.084
90% (μs): 1.065
99% (μs): 1.075
99.9% (μs): 1.082
Request: select
Batch size: 1000
Request per second: 811082
Avg (μs): 1.233
Med (μs): 1.249
Min (μs): 0.968
Max (μs): 1.393
90% (μs): 1.268
99% (μs): 1.289
99.9% (μs): 1.304
Request: replace
Batch size: 1000
Request per second: 962101
Avg (μs): 1.039
Med (μs): 1.050
Min (μs): 0.909
Max (μs): 1.084
90% (μs): 1.067
99% (μs): 1.077
99.9% (μs): 1.083
Request: delete
Batch size: 1000
Request per second: 840370
Avg (μs): 1.190
Med (μs): 1.204
Min (μs): 0.931
Max (μs): 1.419
90% (μs): 1.225
99% (μs): 1.244
99.9% (μs): 1.309
Request: insert
Batch size: 1000
Request per second: 961811
Avg (μs): 1.040
Med (μs): 1.050
Min (μs): 0.917
Max (μs): 1.157
90% (μs): 1.068
99% (μs): 1.078
99.9% (μs): 1.084
Request: select
Batch size: 1000
Request per second: 810646
Avg (μs): 1.234
Med (μs): 1.249
Min (μs): 0.953
Max (μs): 1.437
90% (μs): 1.269
99% (μs): 1.287
99.9% (μs): 1.303
Request: replace
Batch size: 1000
Request per second: 962398
Avg (μs): 1.039
Med (μs): 1.051
Min (μs): 0.896
Max (μs): 1.092
90% (μs): 1.065
99% (μs): 1.075
99.9% (μs): 1.087
Request: delete
Batch size: 1000
Request per second: 839908
Avg (μs): 1.191
Med (μs): 1.205
Min (μs): 0.926
Max (μs): 1.434
90% (μs): 1.226
99% (μs): 1.243
99.9% (μs): 1.307
Request: insert
Batch size: 1000
Request per second: 960300
Avg (μs): 1.041
Med (μs): 1.052
Min (μs): 0.914
Max (μs): 1.198
90% (μs): 1.069
99% (μs): 1.079
99.9% (μs): 1.085
Request: select
Batch size: 1000
Request per second: 810429
Avg (μs): 1.234
Med (μs): 1.249
Min (μs): 0.973
Max (μs): 1.411
90% (μs): 1.270
99% (μs): 1.291
99.9% (μs): 1.304
Request: replace
Batch size: 1000
Request per second: 963714
Avg (μs): 1.038
Med (μs): 1.049
Min (μs): 0.917
Max (μs): 1.156
90% (μs): 1.064
99% (μs): 1.071
99.9% (μs): 1.085
Request: delete
Batch size: 1000
Request per second: 839116
Avg (μs): 1.192
Med (μs): 1.207
Min (μs): 0.923
Max (μs): 1.452
90% (μs): 1.227
99% (μs): 1.238
99.9% (μs): 1.311
Request: insert
Batch size: 1000
Request per second: 963738
Avg (μs): 1.038
Med (μs): 1.048
Min (μs): 0.897
Max (μs): 1.091
90% (μs): 1.065
99% (μs): 1.077
99.9% (μs): 1.091
Request: select
Batch size: 1000
Request per second: 810992
Avg (μs): 1.233
Med (μs): 1.249
Min (μs): 0.954
Max (μs): 1.376
90% (μs): 1.268
99% (μs): 1.287
99.9% (μs): 1.305
Request: replace
Batch size: 1000
Request per second: 961801
Avg (μs): 1.040
Med (μs): 1.049
Min (μs): 0.900
Max (μs): 1.205
90% (μs): 1.065
99% (μs): 1.078
99.9% (μs): 1.094
Request: delete
Batch size: 1000
Request per second: 840029
Avg (μs): 1.190
Med (μs): 1.205
Min (μs): 0.927
Max (μs): 1.434
90% (μs): 1.226
99% (μs): 1.245
99.9% (μs): 1.294
Request: insert
Batch size: 1000
Request per second: 962035
Avg (μs): 1.039
Med (μs): 1.050
Min (μs): 0.902
Max (μs): 1.158
90% (μs): 1.067
99% (μs): 1.078
99.9% (μs): 1.085
Request: select
Batch size: 1000
Request per second: 810889
Avg (μs): 1.233
Med (μs): 1.249
Min (μs): 0.959
Max (μs): 1.395
90% (μs): 1.268
99% (μs): 1.287
99.9% (μs): 1.302
Request: replace
Batch size: 1000
Request per second: 961145
Avg (μs): 1.040
Med (μs): 1.050
Min (μs): 0.904
Max (μs): 1.089
90% (μs): 1.068
99% (μs): 1.078
99.9% (μs): 1.083
Request: delete
Batch size: 1000
Request per second: 839249
Avg (μs): 1.192
Med (μs): 1.207
Min (μs): 0.921
Max (μs): 1.449
90% (μs): 1.227
99% (μs): 1.243
99.9% (μs): 1.307
Request: insert
Batch size: 1000
Request per second: 850668
Avg (μs): 1.176
Med (μs): 1.041
Min (μs): 0.900
Max (μs): 140.462
90% (μs): 1.074
99% (μs): 1.129
99.9% (μs): 1.907
Request: select
Batch size: 1000
Request per second: 807952
Avg (μs): 1.238
Med (μs): 1.253
Min (μs): 0.965
Max (μs): 1.457
90% (μs): 1.271
99% (μs): 1.292
99.9% (μs): 1.302
Request: replace
Batch size: 1000
Request per second: 960006
Avg (μs): 1.042
Med (μs): 1.052
Min (μs): 0.915
Max (μs): 1.090
90% (μs): 1.072
99% (μs): 1.082
99.9% (μs): 1.089
Request: delete
Batch size: 1000
Request per second: 836124
Avg (μs): 1.196
Med (μs): 1.211
Min (μs): 0.934
Max (μs): 1.477
90% (μs): 1.231
99% (μs): 1.251
99.9% (μs): 1.338
Request: insert
Batch size: 1000
Request per second: 955847
Avg (μs): 1.046
Med (μs): 1.056
Min (μs): 0.904
Max (μs): 1.095
90% (μs): 1.074
99% (μs): 1.086
99.9% (μs): 1.093
Request: select
Batch size: 1000
Request per second: 804907
Avg (μs): 1.242
Med (μs): 1.258
Min (μs): 0.957
Max (μs): 1.456
90% (μs): 1.278
99% (μs): 1.295
99.9% (μs): 1.418
Request: replace
Batch size: 1000
Request per second: 956509
Avg (μs): 1.045
Med (μs): 1.055
Min (μs): 0.919
Max (μs): 1.111
90% (μs): 1.077
99% (μs): 1.090
99.9% (μs): 1.106
Request: delete
Batch size: 1000
Request per second: 834077
Avg (μs): 1.199
Med (μs): 1.214
Min (μs): 0.936
Max (μs): 1.446
90% (μs): 1.236
99% (μs): 1.252
99.9% (μs): 1.301
Request: insert
Batch size: 1000
Request per second: 957030
Avg (μs): 1.045
Med (μs): 1.054
Min (μs): 0.917
Max (μs): 1.095
90% (μs): 1.074
99% (μs): 1.085
99.9% (μs): 1.093
Request: select
Batch size: 1000
Request per second: 803484
Avg (μs): 1.245
Med (μs): 1.260
Min (μs): 0.967
Max (μs): 1.450
90% (μs): 1.279
99% (μs): 1.295
99.9% (μs): 1.311
Request: replace
Batch size: 1000
Request per second: 959264
Avg (μs): 1.042
Med (μs): 1.052
Min (μs): 0.918
Max (μs): 1.090
90% (μs): 1.070
99% (μs): 1.079
99.9% (μs): 1.086
Request: delete
Batch size: 1000
Request per second: 834116
Avg (μs): 1.199
Med (μs): 1.215
Min (μs): 0.958
Max (μs): 1.446
90% (μs): 1.233
99% (μs): 1.252
99.9% (μs): 1.307
Request: insert
Batch size: 1000
Request per second: 957444
Avg (μs): 1.044
Med (μs): 1.054
Min (μs): 0.908
Max (μs): 1.100
90% (μs): 1.074
99% (μs): 1.085
99.9% (μs): 1.097
Request: select
Batch size: 1000
Request per second: 804002
Avg (μs): 1.244
Med (μs): 1.261
Min (μs): 0.969
Max (μs): 1.431
90% (μs): 1.278
99% (μs): 1.296
99.9% (μs): 1.308
Request: replace
Batch size: 1000
Request per second: 956348
Avg (μs): 1.046
Med (μs): 1.055
Min (μs): 0.909
Max (μs): 1.095
90% (μs): 1.075
99% (μs): 1.086
99.9% (μs): 1.093
Request: delete
Batch size: 1000
Request per second: 832253
Avg (μs): 1.202
Med (μs): 1.215
Min (μs): 0.936
Max (μs): 1.464
90% (μs): 1.239
99% (μs): 1.256
99.9% (μs): 1.304
Request: insert
Batch size: 1000
Request per second: 957608
Avg (μs): 1.044
Med (μs): 1.055
Min (μs): 0.917
Max (μs): 1.086
90% (μs): 1.072
99% (μs): 1.082
99.9% (μs): 1.085
Request: select
Batch size: 1000
Request per second: 804029
Avg (μs): 1.244
Med (μs): 1.259
Min (μs): 0.966
Max (μs): 1.474
90% (μs): 1.280
99% (μs): 1.297
99.9% (μs): 1.312
Request: replace
Batch size: 1000
Request per second: 957313
Avg (μs): 1.045
Med (μs): 1.054
Min (μs): 0.914
Max (μs): 1.089
90% (μs): 1.072
99% (μs): 1.084
99.9% (μs): 1.088
Request: delete
Batch size: 1000
Request per second: 836307
Avg (μs): 1.196
Med (μs): 1.211
Min (μs): 0.926
Max (μs): 1.469
90% (μs): 1.230
99% (μs): 1.245
99.9% (μs): 1.299
Request: insert
Batch size: 1000
Request per second: 956125
Avg (μs): 1.046
Med (μs): 1.056
Min (μs): 0.901
Max (μs): 1.095
90% (μs): 1.075
99% (μs): 1.087
99.9% (μs): 1.094
Request: select
Batch size: 1000
Request per second: 804709
Avg (μs): 1.243
Med (μs): 1.258
Min (μs): 0.959
Max (μs): 1.456
90% (μs): 1.279
99% (μs): 1.295
99.9% (μs): 1.433
Request: replace
Batch size: 1000
Request per second: 957789
Avg (μs): 1.044
Med (μs): 1.054
Min (μs): 0.921
Max (μs): 1.092
90% (μs): 1.071
99% (μs): 1.083
99.9% (μs): 1.092
Request: delete
Batch size: 1000
Request per second: 834697
Avg (μs): 1.198
Med (μs): 1.213
Min (μs): 0.928
Max (μs): 1.445
90% (μs): 1.234
99% (μs): 1.252
99.9% (μs): 1.349
Request: insert
Batch size: 1000
Request per second: 958060
Avg (μs): 1.044
Med (μs): 1.055
Min (μs): 0.914
Max (μs): 1.097
90% (μs): 1.072
99% (μs): 1.082
99.9% (μs): 1.093
Request: select
Batch size: 1000
Request per second: 804912
Avg (μs): 1.242
Med (μs): 1.258
Min (μs): 0.969
Max (μs): 1.446
90% (μs): 1.277
99% (μs): 1.294
99.9% (μs): 1.308
Request: replace
Batch size: 1000
Request per second: 955471
Avg (μs): 1.047
Med (μs): 1.057
Min (μs): 0.915
Max (μs): 1.096
90% (μs): 1.076
99% (μs): 1.086
99.9% (μs): 1.092
Request: delete
Batch size: 1000
Request per second: 835451
Avg (μs): 1.197
Med (μs): 1.212
Min (μs): 0.932
Max (μs): 1.424
90% (μs): 1.232
99% (μs): 1.251
99.9% (μs): 1.296
Request: insert
Batch size: 1000
Request per second: 956945
Avg (μs): 1.045
Med (μs): 1.056
Min (μs): 0.905
Max (μs): 1.090
90% (μs): 1.075
99% (μs): 1.086
99.9% (μs): 1.090
Request: select
Batch size: 1000
Request per second: 805439
Avg (μs): 1.242
Med (μs): 1.257
Min (μs): 0.971
Max (μs): 1.419
90% (μs): 1.276
99% (μs): 1.294
99.9% (μs): 1.308
Request: replace
Batch size: 1000
Request per second: 955947
Avg (μs): 1.046
Med (μs): 1.056
Min (μs): 0.928
Max (μs): 1.094
90% (μs): 1.076
99% (μs): 1.088
99.9% (μs): 1.094
Request: delete
Batch size: 1000
Request per second: 832894
Avg (μs): 1.201
Med (μs): 1.216
Min (μs): 0.939
Max (μs): 1.456
90% (μs): 1.237
99% (μs): 1.255
99.9% (μs): 1.363
Request: insert
Batch size: 1000
Request per second: 953424
Avg (μs): 1.049
Med (μs): 1.059
Min (μs): 0.917
Max (μs): 1.102
90% (μs): 1.080
99% (μs): 1.092
99.9% (μs): 1.097
Request: select
Batch size: 1000
Request per second: 805576
Avg (μs): 1.241
Med (μs): 1.257
Min (μs): 0.966
Max (μs): 1.451
90% (μs): 1.277
99% (μs): 1.295
99.9% (μs): 1.310
Request: replace
Batch size: 1000
Request per second: 960156
Avg (μs): 1.041
Med (μs): 1.051
Min (μs): 0.916
Max (μs): 1.100
90% (μs): 1.074
99% (μs): 1.085
99.9% (μs): 1.096
Request: delete
Batch size: 1000
Request per second: 834647
Avg (μs): 1.198
Med (μs): 1.214
Min (μs): 0.927
Max (μs): 1.477
90% (μs): 1.234
99% (μs): 1.252
99.9% (μs): 1.353
Request: insert
Batch size: 1000
Request per second: 957537
Avg (μs): 1.044
Med (μs): 1.055
Min (μs): 0.915
Max (μs): 1.101
90% (μs): 1.078
99% (μs): 1.090
99.9% (μs): 1.099
Request: select
Batch size: 1000
Request per second: 804337
Avg (μs): 1.243
Med (μs): 1.259
Min (μs): 0.970
Max (μs): 1.435
90% (μs): 1.279
99% (μs): 1.292
99.9% (μs): 1.415
Request: replace
Batch size: 1000
Request per second: 953615
Avg (μs): 1.049
Med (μs): 1.058
Min (μs): 0.910
Max (μs): 1.098
90% (μs): 1.077
99% (μs): 1.088
99.9% (μs): 1.097
Request: delete
Batch size: 1000
Request per second: 833840
Avg (μs): 1.199
Med (μs): 1.215
Min (μs): 0.920
Max (μs): 1.450
90% (μs): 1.235
99% (μs): 1.251
99.9% (μs): 1.304
Request: insert
Batch size: 1000
Request per second: 847188
Avg (μs): 1.180
Med (μs): 1.044
Min (μs): 0.904
Max (μs): 140.872
90% (μs): 1.077
99% (μs): 1.141
99.9% (μs): 1.971
Request: select
Batch size: 1000
Request per second: 805345
Avg (μs): 1.242
Med (μs): 1.257
Min (μs): 0.958
Max (μs): 1.509
90% (μs): 1.276
99% (μs): 1.295
99.9% (μs): 1.303
Request: replace
Batch size: 1000
Request per second: 956114
Avg (μs): 1.046
Med (μs): 1.056
Min (μs): 0.920
Max (μs): 1.085
90% (μs): 1.073
99% (μs): 1.081
99.9% (μs): 1.084
Request: delete
Batch size: 1000
Request per second: 833198
Avg (μs): 1.200
Med (μs): 1.216
Min (μs): 0.929
Max (μs): 1.455
90% (μs): 1.236
99% (μs): 1.254
99.9% (μs): 1.302
Request: insert
Batch size: 1000
Request per second: 952392
Avg (μs): 1.050
Med (μs): 1.059
Min (μs): 0.908
Max (μs): 1.196
90% (μs): 1.078
99% (μs): 1.091
99.9% (μs): 1.102
Request: select
Batch size: 1000
Request per second: 805406
Avg (μs): 1.242
Med (μs): 1.258
Min (μs): 0.963
Max (μs): 1.426
90% (μs): 1.276
99% (μs): 1.297
99.9% (μs): 1.310
Request: replace
Batch size: 1000
Request per second: 954983
Avg (μs): 1.047
Med (μs): 1.057
Min (μs): 0.924
Max (μs): 1.112
90% (μs): 1.074
99% (μs): 1.085
99.9% (μs): 1.089
Request: delete
Batch size: 1000
Request per second: 835085
Avg (μs): 1.197
Med (μs): 1.213
Min (μs): 0.929
Max (μs): 1.442
90% (μs): 1.231
99% (μs): 1.253
99.9% (μs): 1.303
Request: insert
Batch size: 1000
Request per second: 950596
Avg (μs): 1.052
Med (μs): 1.062
Min (μs): 0.901
Max (μs): 1.099
90% (μs): 1.081
99% (μs): 1.089
99.9% (μs): 1.095
Request: select
Batch size: 1000
Request per second: 802716
Avg (μs): 1.246
Med (μs): 1.262
Min (μs): 0.961
Max (μs): 1.455
90% (μs): 1.280
99% (μs): 1.301
99.9% (μs): 1.316
Request: replace
Batch size: 1000
Request per second: 953202
Avg (μs): 1.049
Med (μs): 1.058
Min (μs): 0.911
Max (μs): 1.201
90% (μs): 1.077
99% (μs): 1.088
99.9% (μs): 1.098
Request: delete
Batch size: 1000
Request per second: 833282
Avg (μs): 1.200
Med (μs): 1.215
Min (μs): 0.931
Max (μs): 1.442
90% (μs): 1.235
99% (μs): 1.252
99.9% (μs): 1.312
Request: insert
Batch size: 1000
Request per second: 955118
Avg (μs): 1.047
Med (μs): 1.058
Min (μs): 0.920
Max (μs): 1.101
90% (μs): 1.074
99% (μs): 1.084
99.9% (μs): 1.090
Request: select
Batch size: 1000
Request per second: 805030
Avg (μs): 1.242
Med (μs): 1.258
Min (μs): 0.963
Max (μs): 1.474
90% (μs): 1.277
99% (μs): 1.296
99.9% (μs): 1.309
Request: replace
Batch size: 1000
Request per second: 952972
Avg (μs): 1.049
Med (μs): 1.058
Min (μs): 0.927
Max (μs): 1.097
90% (μs): 1.077
99% (μs): 1.088
99.9% (μs): 1.094
Request: delete
Batch size: 1000
Request per second: 832309
Avg (μs): 1.201
Med (μs): 1.217
Min (μs): 0.925
Max (μs): 1.465
90% (μs): 1.237
99% (μs): 1.257
99.9% (μs): 1.370
Request: insert
Batch size: 1000
Request per second: 951289
Avg (μs): 1.051
Med (μs): 1.060
Min (μs): 0.913
Max (μs): 1.104
90% (μs): 1.081
99% (μs): 1.091
99.9% (μs): 1.102
Request: select
Batch size: 1000
Request per second: 805527
Avg (μs): 1.241
Med (μs): 1.256
Min (μs): 0.956
Max (μs): 1.441
90% (μs): 1.275
99% (μs): 1.299
99.9% (μs): 1.316
Request: replace
Batch size: 1000
Request per second: 947706
Avg (μs): 1.055
Med (μs): 1.064
Min (μs): 0.926
Max (μs): 1.171
90% (μs): 1.085
99% (μs): 1.097
99.9% (μs): 1.108
Request: delete
Batch size: 1000
Request per second: 832545
Avg (μs): 1.201
Med (μs): 1.216
Min (μs): 0.931
Max (μs): 1.491
90% (μs): 1.236
99% (μs): 1.255
99.9% (μs): 1.323
Request: insert
Batch size: 1000
Request per second: 953331
Avg (μs): 1.049
Med (μs): 1.057
Min (μs): 0.921
Max (μs): 1.107
90% (μs): 1.078
99% (μs): 1.088
99.9% (μs): 1.101
Request: select
Batch size: 1000
Request per second: 804765
Avg (μs): 1.243
Med (μs): 1.259
Min (μs): 0.973
Max (μs): 1.458
90% (μs): 1.278
99% (μs): 1.296
99.9% (μs): 1.313
Request: replace
Batch size: 1000
Request per second: 954472
Avg (μs): 1.048
Med (μs): 1.057
Min (μs): 0.919
Max (μs): 1.103
90% (μs): 1.075
99% (μs): 1.087
99.9% (μs): 1.094
Request: delete
Batch size: 1000
Request per second: 833469
Avg (μs): 1.200
Med (μs): 1.215
Min (μs): 0.926
Max (μs): 1.467
90% (μs): 1.236
99% (μs): 1.253
99.9% (μs): 1.303
Request: insert
Batch size: 1000
Request per second: 951509
Avg (μs): 1.051
Med (μs): 1.061
Min (μs): 0.928
Max (μs): 1.103
90% (μs): 1.081
99% (μs): 1.089
99.9% (μs): 1.096
Request: select
Batch size: 1000
Request per second: 806978
Avg (μs): 1.239
Med (μs): 1.255
Min (μs): 0.961
Max (μs): 1.434
